# GREAT version 4.0.4	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
1110002E22Rik	H3K4me3Heart_3805 (-63838)
Slc39a11	H3K4me3Heart_13774 (-46537), H3K4me3Heart_13768 (+478491), H3K4me3Heart_13767 (+725160)
Slc39a8	H3K4me3Heart_3791 (-94346), H3K4me3Heart_3793 (+182495)
Slc44a5	H3K4me3Heart_3907 (+494454)
Slc45a1	H3K4me3Heart_5131 (+368849)
Slc47a2	H3K4me3Heart_12865 (+41671)
Slc4a1ap	H3K4me3Heart_5434 (+44423)
Slc4a4	H3K4me3Heart_5747 (+42335)
Slc6a6	H3K4me3Heart_7150 (+112074)
Slc6a7	H3K4me3Heart_19228 (+50297)
Slc7a1	H3K4me3Heart_6515 (+59286), H3K4me3Heart_6513 (+372821)
Slc7a11	H3K4me3Heart_3043 (-752259), H3K4me3Heart_3039 (+577310)
Slc7a13	H3K4me3Heart_4003 (-93513)
Slc8a1	H3K4me3Heart_18758 (-86960), H3K4me3Heart_18756;H3K4me3Heart_18757 (-83725)
Slc9a9	H3K4me3Heart_10909 (+587153)
Slco1b2	H3K4me3Heart_7528 (+124405)
Slco2b1	H3K4me3Heart_8537 (+136309)
Slco3a1	H3K4me3Heart_8346 (+132523)
Slco4a1	H3K4me3Heart_2815 (-68198)
Slfnl1	H3K4me3Heart_4606 (+35880)
Slit3	H3K4me3Heart_12614 (-275136), H3K4me3Heart_12615 (-114057)
Slitrk1	H3K4me3Heart_16326 (+2827)
Slmap	H3K4me3Heart_15774 (+84562), H3K4me3Heart_15773 (+92258), H3K4me3Heart_15771;H3K4me3Heart_15772 (+93902)
Smad2	H3K4me3Heart_19367 (-90505)
Smad3	H3K4me3Heart_10665 (-256647)
Smad6	H3K4me3Heart_10669 (-45056), H3K4me3Heart_10665 (+7418)
Smad7	H3K4me3Heart_19361 (+11008)
Smarca2	H3K4me3Heart_19766 (+2193)
Smarca5	H3K4me3Heart_9611 (-90868)
Smc3	H3K4me3Heart_20063 (+53727), H3K4me3Heart_20064 (+60712), H3K4me3Heart_20065 (+61925)
Smchd1	H3K4me3Heart_18685 (+142723)
Smim12	H3K4me3Heart_4720 (+8185)
Smim19	H3K4me3Heart_9157 (-31274), H3K4me3Heart_9156 (-29655)
Smim20	H3K4me3Heart_5586 (+202801)
Smim23	H3K4me3Heart_12602 (-275652)
Smim24	H3K4me3Heart_11942 (+16633)
Smim7	H3K4me3Heart_9576 (-1135)
Smpx	H3K4me3Heart_20750 (+377), H3K4me3Heart_20751 (+2518)
Smyd1	H3K4me3Heart_6962 (+145)
Smyd2	H3K4me3Heart_1155 (-1790), H3K4me3Heart_1153 (+147239)
Smyd3	H3K4me3Heart_1050 (+987494)
Snai1	H3K4me3Heart_2700 (+59276)
Snapc1	H3K4me3Heart_14366 (-53655), H3K4me3Heart_14367 (-16714)
Snrnp48	H3K4me3Heart_15048 (-33983)
Snx1	H3K4me3Heart_10712 (+46313)
Snx10	H3K4me3Heart_6859 (+21497)
Snx22	H3K4me3Heart_10712 (-8842)
Snx9	H3K4me3Heart_17895 (-12997)
Socs2	H3K4me3Heart_12087 (+1010)
Sod1	H3K4me3Heart_17782 (-18098), H3K4me3Heart_17784 (+1784)
Sod3	H3K4me3Heart_5571 (+4636)
Soga1	H3K4me3Heart_2571 (+20604)
Sorbs1	H3K4me3Heart_19875 (+135987)
Sorbs2	H3K4me3Heart_9331 (+3293)
Sorcs2	H3K4me3Heart_5496 (+84441)
Sorcs3	H3K4me3Heart_20045 (-258917), H3K4me3Heart_20047 (+193960)
Sorl1	H3K4me3Heart_10396 (+540425), H3K4me3Heart_10390 (+911588)
Sost	H3K4me3Heart_13606 (+491)
Sowahb	H3K4me3Heart_5784 (+144801)
Sox18	H3K4me3Heart_2848 (-4177)
Sox3	H3K4me3Heart_20388 (+175122)
Sox4	H3K4me3Heart_14975 (-659696)
Sox5	H3K4me3Heart_7545 (-613523), H3K4me3Heart_7541 (+882268)
Sox9	H3K4me3Heart_13767 (+58384), H3K4me3Heart_13768 (+305053)
Sp3	H3K4me3Heart_1812 (+239197), H3K4me3Heart_1810 (+472320)
Sp7	H3K4me3Heart_17188 (-4457)
Sp8	H3K4me3Heart_14758 (+2207)
Sp9	H3K4me3Heart_1818 (+71)
Spaca3	H3K4me3Heart_13208 (-39959)
Spag6	H3K4me3Heart_1301 (-312)
Spata13	H3K4me3Heart_16068 (-127684), H3K4me3Heart_16071 (+101010), H3K4me3Heart_16072 (+102353)
Spata5	H3K4me3Heart_3005 (-671)
Spats2l	H3K4me3Heart_261 (-161466)
Spdef	H3K4me3Heart_18169 (-68498)
Spdl1	H3K4me3Heart_12615 (-173526), H3K4me3Heart_12614 (-12447)
Specc1l	H3K4me3Heart_11748 (-55781)
Speg	H3K4me3Heart_410 (-5603)
Sphkap	H3K4me3Heart_452 (+62369)
Spin1	H3K4me3Heart_15157 (-175973), H3K4me3Heart_15159 (+21359)
Spocd1	H3K4me3Heart_4769 (-41239), H3K4me3Heart_4770 (-33693)
Spock1	H3K4me3Heart_15252 (-75931)
Spock3	H3K4me3Heart_9424 (-666799)
Spon2	H3K4me3Heart_5450 (-16357), H3K4me3Heart_5449 (+265)
Spsb4	H3K4me3Heart_10938 (-38061)
Sptb	H3K4me3Heart_14401 (+163632)
Sptbn1	H3K4me3Heart_12574 (-67933)
Sptbn5	H3K4me3Heart_2183 (-95546)
Sptlc2	H3K4me3Heart_14543 (-19599)
Sptssa	H3K4me3Heart_14242 (+251148)
Srbd1	H3K4me3Heart_18793 (+286983)
Srf	H3K4me3Heart_18478 (-65191)
Srgap3	H3K4me3Heart_7245 (+1958)
Srl	H3K4me3Heart_17244 (+182)
Srpk3	H3K4me3Heart_20426 (+134)
Srprb	H3K4me3Heart_10989 (-6009)
Srr	H3K4me3Heart_13086 (-87219)
Srrm1	H3K4me3Heart_4907 (+66083)
Srrm4	H3K4me3Heart_6053 (+134714), H3K4me3Heart_6051 (+145219)
Srsf1	H3K4me3Heart_13305 (-37183)
Srsf3	H3K4me3Heart_18203 (+3018)
Srsf7	H3K4me3Heart_18738 (+58566)
Ssbp3	H3K4me3Heart_4447 (-1963)
Ssh1	H3K4me3Heart_5978 (+62643)
Ssr3	H3K4me3Heart_3136 (-102212)
Sstr1	H3K4me3Heart_14274 (-639851), H3K4me3Heart_14276 (-434943), H3K4me3Heart_14278 (+54952)
Sstr2	H3K4me3Heart_13774 (-7171)
St3gal5	H3K4me3Heart_6973 (+124805)
St3gal6	H3K4me3Heart_17698 (+10886)
St6galnac1	H3K4me3Heart_13863 (-46117)
St6galnac4	H3K4me3Heart_1543 (+1989)
St6galnac6	H3K4me3Heart_1543 (-19380)
St8sia2	H3K4me3Heart_8346 (-408409)
St8sia3	H3K4me3Heart_19256 (-240348)
St8sia6	H3K4me3Heart_1266 (+215297)
Stab2	H3K4me3Heart_12016 (+35758)
Stag2	H3K4me3Heart_20301 (-1835)
Stap2	H3K4me3Heart_18559 (+123)
Stard13	H3K4me3Heart_6557 (+81581)
Stard4	H3K4me3Heart_18984 (+2025)
Stat6	H3K4me3Heart_12314 (+18875)
Stfa3	H3K4me3Heart_17586 (-100385)
Stk17b	H3K4me3Heart_238 (-193216)
Stk26	H3K4me3Heart_20338 (-260507)
Stk35	H3K4me3Heart_2303 (+147533)
Stk39	H3K4me3Heart_1757 (+35834)
Stmnd1	H3K4me3Heart_15104 (-311)
Stn1	H3K4me3Heart_20034 (+50770)
Ston1	H3K4me3Heart_18832 (+3042)
Stox2	H3K4me3Heart_9356 (-62786), H3K4me3Heart_9355 (-61589)
Stpg1	H3K4me3Heart_4914 (+49340)
Stpg4	H3K4me3Heart_18808 (+96583)
Strbp	H3K4me3Heart_1626 (-111251), H3K4me3Heart_1625 (-88416)
Strip2	H3K4me3Heart_6689 (+2107)
Stt3b	H3K4me3Heart_11178 (-80553), H3K4me3Heart_11175 (+213612)
Stx11	H3K4me3Heart_11336 (+52232)
Stx18	H3K4me3Heart_5520 (-66715)
Stx1a	H3K4me3Heart_6293 (-11044)
Stxbp6	H3K4me3Heart_14206 (+6630)
Sugt1	H3K4me3Heart_16266 (+57734)
Sulf2	H3K4me3Heart_2680 (-248029), H3K4me3Heart_2678 (+74724)
Sult6b1	H3K4me3Heart_18721 (+11263)
Sumf2	H3K4me3Heart_6255 (+7823)
Supt20	H3K4me3Heart_3084 (-330510)
Supt3	H3K4me3Heart_18434 (-475996)
Susd4	H3K4me3Heart_1104 (+27862)
Svil	H3K4me3Heart_18852 (+74181), H3K4me3Heart_18853 (+75823)
Syde2	H3K4me3Heart_3848 (+3450)
Sync	H3K4me3Heart_4745 (+6212)
Syncrip	H3K4me3Heart_10885 (-583)
Syne2	H3K4me3Heart_14385 (+18707), H3K4me3Heart_14386 (+35563)
Syne3	H3K4me3Heart_14623 (-14701)
Syngap1	H3K4me3Heart_18151 (-3318)
Synm	H3K4me3Heart_8301 (-37215)
Synpo2	H3K4me3Heart_3698 (+1603)
Synpo2l	H3K4me3Heart_15735 (+98), H3K4me3Heart_15734 (+3918)
Sypl	H3K4me3Heart_14158 (+81951), H3K4me3Heart_14160 (+107820)
Syt15	H3K4me3Heart_15847 (-114)
Syt17	H3K4me3Heart_8700 (-44909)
Syt2	H3K4me3Heart_715 (+94401), H3K4me3Heart_716 (+200300)
Tab2	H3K4me3Heart_11315 (-174374), H3K4me3Heart_11312 (+114146)
Tac4	H3K4me3Heart_13384 (-29545)
Tacc1	H3K4me3Heart_9190 (-23582)
Tacr2	H3K4me3Heart_11661 (+84773)
Taf3	H3K4me3Heart_1242 (+152273)
Taf4	H3K4me3Heart_2801 (+313959)
Taf4b	H3K4me3Heart_18914 (+231978)
Taf7	H3K4me3Heart_19088 (-178222), H3K4me3Heart_19078 (-86873), H3K4me3Heart_19076 (-76285)
Tagln2	H3K4me3Heart_1009 (-9622), H3K4me3Heart_1011 (+4243)
Tango6	H3K4me3Heart_9901 (+35359)
Tarbp1	H3K4me3Heart_10139 (-113026)
Tarm1	H3K4me3Heart_7601 (+72074)
Tars	H3K4me3Heart_16437 (-342489)
Tbc1d1	H3K4me3Heart_5599 (-2926)
Tbc1d24	H3K4me3Heart_18049 (-3537)
Tbc1d32	H3K4me3Heart_11596 (-152237)
Tbca	H3K4me3Heart_15487 (+17770)
Tbk1	H3K4me3Heart_12246 (+76289)
Tbl1xr1	H3K4me3Heart_2922 (+1762)
Tbpl1	H3K4me3Heart_11413 (-85189), H3K4me3Heart_11412 (-83623), H3K4me3Heart_11411 (-82136)
Tbx1	H3K4me3Heart_17396 (-1016)
Tbx19	H3K4me3Heart_907 (-31066)
Tbx2	H3K4me3Heart_13257 (-2382)
Tbx20	H3K4me3Heart_10288 (-3572), H3K4me3Heart_10286 (+5965), H3K4me3Heart_10285 (+7560), H3K4me3Heart_10284 (+8595)
Tbx3	H3K4me3Heart_6095 (+129706)
Tbx4	H3K4me3Heart_13261 (-1617)
Tbx5	H3K4me3Heart_6095 (-33939)
Tbxa2r	H3K4me3Heart_11933 (+99)
Tc2n	H3K4me3Heart_14592 (-98736)
Tcap	H3K4me3Heart_13494 (+325)
Tcea2	H3K4me3Heart_2848 (-4493)
Tcf20	H3K4me3Heart_16896 (-8994)
Tcf21	H3K4me3Heart_11416 (-23969), H3K4me3Heart_11413 (+3492), H3K4me3Heart_11412 (+5058), H3K4me3Heart_11411 (+6545)
Tcf4	H3K4me3Heart_19315 (-146966), H3K4me3Heart_19318 (+55590), H3K4me3Heart_19320 (+179531)
Tcf7l2	H3K4me3Heart_20083 (-185509), H3K4me3Heart_20086 (+6839)
Tcp10a	H3K4me3Heart_17913 (-151538)
Tcte1	H3K4me3Heart_18441 (+22088)
Tctex1d1	H3K4me3Heart_4426 (-129970)
Tdg	H3K4me3Heart_11971 (+36964)
Tdrd1	H3K4me3Heart_20098 (+98)
Tdrd7	H3K4me3Heart_4167 (+500)
Tead1	H3K4me3Heart_8657 (-16010), H3K4me3Heart_8660 (+5900), H3K4me3Heart_8662 (+62835), H3K4me3Heart_8663 (+64419), H3K4me3Heart_8666 (+277619)
Tecr	H3K4me3Heart_9628 (+18202)
Tecrl	H3K4me3Heart_5735 (+268)
Tek	H3K4me3Heart_4370 (+2135)
Tenm3	H3K4me3Heart_9372 (+163395), H3K4me3Heart_9367 (+520788)
Tes	H3K4me3Heart_6623 (+132689)
Tet1	H3K4me3Heart_11672 (+54927)
Tet2	H3K4me3Heart_3777 (-711501), H3K4me3Heart_3774 (-269795), H3K4me3Heart_3772 (+149077)
Tet3	H3K4me3Heart_7032 (-15298)
Tex10	H3K4me3Heart_4201 (-17969), H3K4me3Heart_4199 (+65779)
Tex11	H3K4me3Heart_20533 (+280571)
Tex24	H3K4me3Heart_9226 (-80679), H3K4me3Heart_9227 (-71684)
Tex26	H3K4me3Heart_6537 (+74557)
Tex35	H3K4me3Heart_856 (-147986), H3K4me3Heart_855 (-70881)
Tex36	H3K4me3Heart_8890 (+480186)
Tex43	H3K4me3Heart_19204 (+95045)
Tex46	H3K4me3Heart_4945 (+145354)
Tfam	H3K4me3Heart_11735 (-12408), H3K4me3Heart_11733 (+45345)
Tfap2a	H3K4me3Heart_15063 (-92382), H3K4me3Heart_15062 (+227)
Tfap2c	H3K4me3Heart_2758 (-71929), H3K4me3Heart_2759 (+71)
Tfcp2l1	H3K4me3Heart_593 (-145246), H3K4me3Heart_595 (+354014)
Tfip11	H3K4me3Heart_5953 (-36917), H3K4me3Heart_5954 (-1470)
Tfpi	H3K4me3Heart_1908 (-160019), H3K4me3Heart_1907 (-82189)
Tgfa	H3K4me3Heart_7070 (+14184)
Tgfb2	H3K4me3Heart_1129 (+118441)
Tgfbr3	H3K4me3Heart_5882 (-13899)
Tgif1	H3K4me3Heart_18666 (+290114)
Tgif2	H3K4me3Heart_2566 (-62477)
Tgm2	H3K4me3Heart_2587 (+2827)
Tgm3	H3K4me3Heart_2303 (-64299)
Thap1	H3K4me3Heart_9211 (+612535)
Thap12	H3K4me3Heart_8520 (-24761)
Thbd	H3K4me3Heart_2427 (-31039)
Thegl	H3K4me3Heart_5721 (+96483)
Them7	H3K4me3Heart_2056 (-91855), H3K4me3Heart_2057 (-60979)
Thumpd1	H3K4me3Heart_8712 (-19205)
Thumpd2	H3K4me3Heart_18753 (+93661)
Tiam1	H3K4me3Heart_17782 (-227945)
Ticam1	H3K4me3Heart_18577 (-11091)
Tie1	H3K4me3Heart_4583 (+425)
Tigit	H3K4me3Heart_17633 (-44897), H3K4me3Heart_17632 (+157832), H3K4me3Heart_17630 (+188609), H3K4me3Heart_17629 (+300982)
Timeless	H3K4me3Heart_12332 (+15569)
Tinag	H3K4me3Heart_10810 (-300198), H3K4me3Heart_10809 (-299188)
Tinagl1	H3K4me3Heart_4779 (+11171)
Tiparp	H3K4me3Heart_3136 (-33575)
Tjp2	H3K4me3Heart_19736 (+178043)
Tkt	H3K4me3Heart_15801;H3K4me3Heart_15802 (-58899)
Tle4	H3K4me3Heart_19692 (-987476), H3K4me3Heart_19688 (+2256)
Tlk1	H3K4me3Heart_1787 (-163851), H3K4me3Heart_1786 (-75858)
Tlk2	H3K4me3Heart_13695 (+741)
Tln2	H3K4me3Heart_10732 (-110564), H3K4me3Heart_10730 (+131194), H3K4me3Heart_10729 (+367607)
Tlr1	H3K4me3Heart_5608 (+120210), H3K4me3Heart_5607 (+123951)
Tlr5	H3K4me3Heart_1104 (-162031)
Tlx1	H3K4me3Heart_19966 (-5722), H3K4me3Heart_19970 (+74747), H3K4me3Heart_19971 (+80371)
Tlx2	H3K4me3Heart_7012 (+1252)
Tm2d1	H3K4me3Heart_4384 (+462689)
Tm2d2	H3K4me3Heart_9185 (+10766)
Tmc1	H3K4me3Heart_19714 (-222893)
Tmcc1	H3K4me3Heart_7292 (+120434)
Tmcc3	H3K4me3Heart_12078 (+6164)
Tmed10	H3K4me3Heart_14502 (-61255)
Tmem106c	H3K4me3Heart_17057 (+37822)
Tmem120b	H3K4me3Heart_6164 (-15922)
Tmem121	H3K4me3Heart_14736 (+2030)
Tmem144	H3K4me3Heart_3197 (+57211)
Tmem150b	H3K4me3Heart_7630 (+17790)
Tmem150c	H3K4me3Heart_5822 (-55305)
Tmem160	H3K4me3Heart_7725 (+21917)
Tmem161a	H3K4me3Heart_9487 (+2086)
Tmem161b	H3K4me3Heart_15437;H3K4me3Heart_15438 (-489023)
Tmem164	H3K4me3Heart_20694 (+144662)
Tmem174	H3K4me3Heart_15531 (+750)
Tmem178	H3K4me3Heart_18749 (-142901), H3K4me3Heart_18750 (-97405), H3K4me3Heart_18751 (-11162), H3K4me3Heart_18753 (+26792)
Tmem179	H3K4me3Heart_14710 (+20037)
Tmem182	H3K4me3Heart_177 (+330), H3K4me3Heart_178 (+68895)
Tmem183a	H3K4me3Heart_702 (+18901)
Tmem184a	H3K4me3Heart_6406 (+17369)
Tmem184b	H3K4me3Heart_16815 (+1673), H3K4me3Heart_16814 (+22219)
Tmem200a	H3K4me3Heart_11432 (+561777)
Tmem212	H3K4me3Heart_2931 (+56122)
Tmem218	H3K4me3Heart_10350 (-68472)
Tmem229a	H3K4me3Heart_6652 (+61349)
Tmem232	H3K4me3Heart_18631 (-17901)
Tmem233	H3K4me3Heart_6047 (-188633)
Tmem242	H3K4me3Heart_17889 (+381868), H3K4me3Heart_17888 (+432682)
Tmem245	H3K4me3Heart_4235 (+2718), H3K4me3Heart_4234 (+6575)
Tmem258	H3K4me3Heart_19654 (+21277)
Tmem260	H3K4me3Heart_15912 (+218588)
Tmem28	H3K4me3Heart_20522 (-246232)
Tmem30a	H3K4me3Heart_10843 (-181934)
Tmem38a	H3K4me3Heart_9576 (+120)
Tmem40	H3K4me3Heart_7285 (+64283)
Tmem41a	H3K4me3Heart_17445 (-28730)
Tmem45b	H3K4me3Heart_10318 (-224193)
Tmem52	H3K4me3Heart_5211 (+81)
Tmem59l	H3K4me3Heart_9498 (-2490)
Tmem72	H3K4me3Heart_7303 (-263744)
Tmem92	H3K4me3Heart_13370 (-100327)
Tmem98	H3K4me3Heart_13208 (+8238)
Tmpo	H3K4me3Heart_12047 (-70133)
Tmsb4x	H3K4me3Heart_20794 (+563445)
Tmx1	H3K4me3Heart_14328 (+330889)
Tnfaip6	H3K4me3Heart_1678 (-21174)
Tnfrsf19	H3K4me3Heart_16080 (-32231)
Tnfrsf25	H3K4me3Heart_5161 (+10), H3K4me3Heart_5162 (+5151)
Tnfrsf9	H3K4me3Heart_5139 (+17898)
Tnfsf11	H3K4me3Heart_16252 (+91464)
Tnfsf9	H3K4me3Heart_18610 (-8761)
Tnip1	H3K4me3Heart_12775 (-60468)
Tnks	H3K4me3Heart_9274 (-271720), H3K4me3Heart_9273 (-239639)
Tnni1	H3K4me3Heart_737 (+347)
Tnni3k	H3K4me3Heart_3912 (+156)
Tnnt1	H3K4me3Heart_7622 (-3420), H3K4me3Heart_7621 (+207), H3K4me3Heart_7619 (+6110)
Tnnt2	H3K4me3Heart_739 (-3647)
Tnnt3	H3K4me3Heart_8993 (-26381), H3K4me3Heart_8994 (-23754)
Tnp1	H3K4me3Heart_357 (-946825), H3K4me3Heart_356 (-943789), H3K4me3Heart_355 (+70743)
Tnrc18	H3K4me3Heart_6433 (-3073)
Tnrc6a	H3K4me3Heart_8744 (-105418)
Tnrc6b	H3K4me3Heart_16853 (+41454)
Tns1	H3K4me3Heart_357 (+161723), H3K4me3Heart_356 (+164759)
Tns3	H3K4me3Heart_12457 (+35591)
Tnxb	H3K4me3Heart_18330 (-9290)
Tomm20l	H3K4me3Heart_14334 (-1)
Tomm7	H3K4me3Heart_5328 (-30687)
Tox2	H3K4me3Heart_2620 (+60077)
Tpbg	H3K4me3Heart_10866 (+596413)
Tpm1	H3K4me3Heart_10730 (-379242), H3K4me3Heart_10729 (-142829)
Tpp1	H3K4me3Heart_8608 (-9971)
Tpst2	H3K4me3Heart_5953 (+12750)
Tra2b	H3K4me3Heart_17451 (-163221), H3K4me3Heart_17450 (-92864)
Traf1	H3K4me3Heart_1591 (+13088)
Traf3ip2	H3K4me3Heart_11484 (+1836)
Traf4	H3K4me3Heart_13158 (+68617)
Traf7	H3K4me3Heart_18061 (+21147)
Trak1	H3K4me3Heart_11240 (+180089)
Trappc11	H3K4me3Heart_9356 (+181279), H3K4me3Heart_9355 (+182476)
Trappc3	H3K4me3Heart_4693 (-2476)
Trdn	H3K4me3Heart_11459 (+341), H3K4me3Heart_11460 (+1758)
Trib1	H3K4me3Heart_16638 (-32741), H3K4me3Heart_16640 (-14565), H3K4me3Heart_16643 (+32397), H3K4me3Heart_16644 (+111647)
Trib2	H3K4me3Heart_14070 (-369267)
Trim11	H3K4me3Heart_12815 (+21033), H3K4me3Heart_12816 (+25175)
Trim16	H3K4me3Heart_12900 (+1765)
Trim27	H3K4me3Heart_14834 (-20526)
Trim29	H3K4me3Heart_10411 (-39868)
Trim32	H3K4me3Heart_4291 (+2312)
Trim37	H3K4me3Heart_13281 (+89577)
Trim54	H3K4me3Heart_5419 (+168)
Trim55	H3K4me3Heart_2912 (+191)
Trim63	H3K4me3Heart_4877 (-21567), H3K4me3Heart_4878 (+773)
Trim7	H3K4me3Heart_12680 (+18521), H3K4me3Heart_12681 (+32866)
Trim71	H3K4me3Heart_11162 (+48539)
Trim8	H3K4me3Heart_20009 (+295)
Trio	H3K4me3Heart_16481 (-45370)
Triobp	H3K4me3Heart_16799 (+78144)
Trp53	H3K4me3Heart_12983 (-1233)
Trp53i11	H3K4me3Heart_1992 (+123019)
Trp63	H3K4me3Heart_17475 (+116)
Trp73	H3K4me3Heart_5183 (+17)
Trpd52l3	H3K4me3Heart_19798 (-63276)
Trpm3	H3K4me3Heart_19723 (+415647), H3K4me3Heart_19725 (+766079)
Tsacc	H3K4me3Heart_3281 (+146338)
Tsc22d1	H3K4me3Heart_16240 (-354522)
Tshr	H3K4me3Heart_14553 (+151314)
Tshz3	H3K4me3Heart_8053 (-625858), H3K4me3Heart_8060 (+865137)
Tsnax	H3K4me3Heart_10116 (-21605)
Tspan11	H3K4me3Heart_7440 (+102491)
Tspan12	H3K4me3Heart_6638 (+29223), H3K4me3Heart_6637 (+625774)
Tspan18	H3K4me3Heart_1992 (+23920)
Tspan9	H3K4me3Heart_7440 (+146629)
Tsx	H3K4me3Heart_20570 (+207577)
Ttc17	H3K4me3Heart_2010 (+142968)
Ttc21a	H3K4me3Heart_11212 (+25662)
Ttc25	H3K4me3Heart_13540 (+10314)
Ttc29	H3K4me3Heart_9591 (-116274)
Ttc30a2	H3K4me3Heart_1862 (+18176)
Ttc30b	H3K4me3Heart_1862 (-21562)
Ttc39a	H3K4me3Heart_4487 (+59500)
Ttc6	H3K4me3Heart_14274 (+7808), H3K4me3Heart_14276 (+212716)
Ttc7	H3K4me3Heart_18808 (+48272)
Ttc8	H3K4me3Heart_14569 (+435589)
Tti1	H3K4me3Heart_2583 (+87093)
Ttll11	H3K4me3Heart_1607 (+287187)
Ttll7	H3K4me3Heart_3868 (+329595)
Ttn	H3K4me3Heart_1875 (+49), H3K4me3Heart_1874 (+1734), H3K4me3Heart_1873 (+175329)
Tuba1a	H3K4me3Heart_17092 (-30109)
Tuba3b	H3K4me3Heart_7555 (-165144), H3K4me3Heart_7556 (-152595)
Tubb2b	H3K4me3Heart_15011 (-3465)
Tubb3	H3K4me3Heart_10089 (+11019)
Tubb4a	H3K4me3Heart_18610 (-8842)
Tubb6	H3K4me3Heart_19298 (-20574)
Tubg2	H3K4me3Heart_13569 (+8383)
Tulp1	H3K4me3Heart_18189 (+684)
Tusc5	H3K4me3Heart_13129 (+20356)
Twist1	H3K4me3Heart_14174 (+559382)
Twist2	H3K4me3Heart_531 (-30759)
Txndc5	H3K4me3Heart_15051 (+174453)
Txnrd1	H3K4me3Heart_11975 (-38663)
Tyw3	H3K4me3Heart_3907 (+129205)
Tyw5	H3K4me3Heart_261 (-206294)
Uaca	H3K4me3Heart_10630 (-51150)
Ubap2	H3K4me3Heart_4088 (+19357)
Ubash3b	H3K4me3Heart_10396 (-425810), H3K4me3Heart_10390 (-54647)
Ube2cbp	H3K4me3Heart_10866 (+26157)
Ube2d1	H3K4me3Heart_11737 (-21257), H3K4me3Heart_11735 (+34574)
Ube2e3	H3K4me3Heart_1884 (-821899), H3K4me3Heart_1887 (+218379)
Ube2h	H3K4me3Heart_6693 (+128257)
Ube2k	H3K4me3Heart_5619 (+158830)
Ube2r2	H3K4me3Heart_4088 (+120035)
Ube2v1	H3K4me3Heart_2700 (+34624)
Ube2v2	H3K4me3Heart_17334 (+541302)
Ube3b	H3K4me3Heart_5989 (-2822)
Ubfd1	H3K4me3Heart_8734 (-20516)
Ubl5	H3K4me3Heart_10203 (-1109)
Ubl7	H3K4me3Heart_10597 (-9781)
Ubr3	H3K4me3Heart_1775 (+186570)
Uggt1	H3K4me3Heart_126 (-25169)
Umps	H3K4me3Heart_17568 (-295757), H3K4me3Heart_17565 (+74982)
Unc13a	H3K4me3Heart_9553 (+3276), H3K4me3Heart_9552 (+5817)
Unc45b	H3K4me3Heart_13219 (+1094)
Unc5b	H3K4me3Heart_11640 (-237728), H3K4me3Heart_11639 (-7260)
Unc5d	H3K4me3Heart_9228 (+624936)
Uncx	H3K4me3Heart_6401 (-8342), H3K4me3Heart_6402 (+41595)
Upk1b	H3K4me3Heart_17620 (+6656)
Upp1	H3K4me3Heart_12461 (-1840)
Uqcrfs1	H3K4me3Heart_14981 (+23689), H3K4me3Heart_14980 (+199725)
Uqcrh	H3K4me3Heart_4526 (+1813)
Urad	H3K4me3Heart_6497 (+7092)
Usf2	H3K4me3Heart_8015 (+416)
Usf3	H3K4me3Heart_17641 (+65910)
Ush1c	H3K4me3Heart_8210 (+513)
Ush2a	H3K4me3Heart_1144 (-260431), H3K4me3Heart_1145 (-255361), H3K4me3Heart_1146 (-207013)
Ushbp1	H3K4me3Heart_9534 (+520)
Usp1	H3K4me3Heart_4392 (+513)
Usp2	H3K4me3Heart_10417 (+2513)
Usp20	H3K4me3Heart_1496 (+14367)
Usp25	H3K4me3Heart_17739 (+317064)
Usp27x	H3K4me3Heart_20147 (+60832)
Usp38	H3K4me3Heart_9614 (+2644)
Usp44	H3K4me3Heart_12068 (-124215)
Usp46	H3K4me3Heart_5683 (-93425)
Usp48	H3K4me3Heart_4957 (-117418)
Ust	H3K4me3Heart_11318 (-364990), H3K4me3Heart_11315 (+388221)
Utp11	H3K4me3Heart_4660 (+47054)
Utrn	H3K4me3Heart_11336 (-50300)
Uts2	H3K4me3Heart_5139 (-59009), H3K4me3Heart_5141 (+15504)
Uvrag	H3K4me3Heart_8524 (+289600)
Uvssa	H3K4me3Heart_5454 (+52541)
Vapa	H3K4me3Heart_18631 (+54872)
Vcan	H3K4me3Heart_15449 (+200048)
Vcpkmt	H3K4me3Heart_14311 (+8489), H3K4me3Heart_14309 (+80395)
Vdac3	H3K4me3Heart_9157 (+85605), H3K4me3Heart_9156 (+87224)
Vegfa	H3K4me3Heart_18456 (-52123)
Veph1	H3K4me3Heart_3149 (-682196)
Vezf1	H3K4me3Heart_13307 (+729)
Vgll3	H3K4me3Heart_17719 (+770334)
Vill	H3K4me3Heart_11197 (-50418)
Vim	H3K4me3Heart_1266 (+4559)
Vps37b	H3K4me3Heart_6190 (+2516), H3K4me3Heart_6189 (+4465), H3K4me3Heart_6188 (+17282), H3K4me3Heart_6187 (+21116)
Vps45	H3K4me3Heart_3437 (-35861)
Vsig8	H3K4me3Heart_1013 (-29218)
Vsnl1	H3K4me3Heart_14053 (-1433)
Vstm2l	H3K4me3Heart_2583 (+26687)
Vti1a	H3K4me3Heart_20083 (+240025)
Vwa5b1	H3K4me3Heart_4980 (+127858)
